DDT,M,S,run,event_index,n_kind_tasks,n_vars,solve_time_ms
1.0,15,1,6,0,58,426,5.5566
1.0,15,1,7,0,58,426,3.8345
1.0,15,1,8,0,58,426,3.9313
1.0,15,1,9,0,58,426,4.0897
1.0,15,3,0,0,92,702,6.8122
1.0,15,3,0,1,92,702,6.1786
1.0,15,3,0,2,92,702,6.1068
1.0,15,3,1,0,92,702,6.9194
1.0,15,3,1,1,92,702,6.6391
1.0,15,3,1,2,92,702,7.129
1.0,15,3,2,0,92,702,6.8368
1.0,15,3,2,1,92,702,6.6315
1.0,15,3,2,2,92,702,7.6269
1.0,15,3,3,0,92,702,6.7063
1.0,15,3,3,1,92,702,6.2919
1.0,15,3,3,2,92,702,6.1765
1.0,15,3,4,0,92,702,6.8706
1.0,15,3,4,1,92,702,6.4037
1.0,15,3,4,2,92,702,6.227
1.0,15,3,5,0,92,702,7.6523
1.0,15,3,5,1,92,702,6.4782
1.0,15,3,5,2,92,702,6.3074
1.0,15,3,6,0,92,702,7.0283
1.0,15,3,6,1,92,702,6.709
1.0,15,3,6,2,92,702,6.4651
1.0,15,3,7,0,92,702,7.5609
1.0,15,3,7,1,92,702,58.9395
1.0,15,3,7,2,92,702,6.5348
1.0,15,3,8,0,92,702,6.8293
1.0,15,3,8,1,92,702,6.3821
1.0,15,3,8,2,92,702,7.2557
1.0,15,3,9,0,92,702,6.9
1.0,15,3,9,1,92,702,6.2292
1.0,15,3,9,2,92,702,5.9391
1.0,15,5,0,0,116,962,8.7057
1.0,15,5,0,1,116,962,10.611
1.0,15,5,0,2,116,962,8.3625
1.0,15,5,0,3,116,962,7.9816
1.0,15,5,0,4,116,962,7.9616
1.0,15,5,1,0,116,962,67.9404
1.0,15,5,1,1,116,962,8.7141
1.0,15,5,1,2,116,962,8.3411
1.0,15,5,1,3,116,962,18.7347
1.0,15,5,1,4,116,962,8.5872
1.0,15,5,2,0,116,962,8.8731
1.0,15,5,2,1,116,962,8.3271
1.0,15,5,2,2,116,962,8.3575
1.0,15,5,2,3,116,962,8.5904
1.0,15,5,2,4,116,962,8.0505
1.0,15,5,3,0,116,962,8.631
1.0,15,5,3,1,116,962,8.7173
1.0,15,5,3,2,116,962,8.9426
1.0,15,5,3,3,116,962,8.3476
1.0,15,5,3,4,116,962,8.2454
1.0,15,5,4,0,116,962,15.7962
1.0,15,5,4,1,116,962,8.7095
1.0,15,5,4,2,116,962,8.1684
1.0,15,5,4,3,116,962,8.5404
1.0,15,5,4,4,116,962,8.5047
1.0,15,5,5,0,116,962,8.7949
1.0,15,5,5,1,116,962,8.4856
1.0,15,5,5,2,116,962,8.9658
1.0,15,5,5,3,116,962,8.5194
1.0,15,5,5,4,116,962,8.2206
1.0,15,5,6,0,116,962,9.0687
1.0,15,5,6,1,116,962,8.5916
1.0,15,5,6,2,116,962,9.0424
1.0,15,5,6,3,116,962,8.3743
1.0,15,5,6,4,116,962,8.5113
1.0,15,5,7,0,116,962,8.8769
1.0,15,5,7,1,116,962,8.4202
1.0,15,5,7,2,116,962,10.6906
1.0,15,5,7,3,116,962,8.291
1.0,15,5,7,4,116,962,8.0907
1.0,15,5,8,0,116,962,8.7819
1.0,15,5,8,1,116,962,8.6195
1.0,15,5,8,2,116,962,8.3699
1.0,15,5,8,3,116,962,9.8363
1.0,15,5,8,4,116,962,8.8144
1.0,15,5,9,0,116,962,8.6519
1.0,15,5,9,1,116,962,9.5604
1.0,15,5,9,2,116,962,8.5214
1.0,15,5,9,3,116,962,8.1989
1.0,15,5,9,4,116,962,8.4902
1.0,20,1,0,0,73,673,5.0702
1.0,20,1,1,0,73,673,4.8773
1.0,20,1,2,0,73,673,5.2757
1.0,20,1,3,0,73,673,4.901
1.0,20,1,4,0,73,673,4.8391
1.0,20,1,5,0,73,673,7.225
1.0,20,1,6,0,73,673,4.9892
1.0,20,1,7,0,73,673,4.8632
1.0,20,1,8,0,73,673,4.8914
1.0,20,1,9,0,73,673,5.2645
1.0,20,3,0,0,38,428,3.931
1.0,20,3,0,1,38,428,4.008
1.0,20,3,0,2,38,428,4.0143
1.0,20,3,1,0,38,428,4.5099
1.0,20,3,1,1,38,428,3.8882
1.0,20,3,1,2,38,428,3.9299
1.0,20,3,2,0,38,428,3.8816
1.0,20,3,2,1,38,428,3.8864
1.0,20,3,2,2,38,428,3.9026
1.0,20,3,3,0,38,428,3.9411
1.0,20,3,3,1,38,428,3.8709
1.0,20,3,3,2,38,428,3.9084
1.0,20,3,4,0,38,428,3.997
1.0,20,3,4,1,38,428,3.8819
1.0,20,3,4,2,38,428,3.9343
1.0,20,3,5,0,38,428,3.9335
1.0,20,3,5,1,38,428,4.0125
1.0,20,3,5,2,38,428,3.8719
1.0,20,3,6,0,38,428,4.7996
1.0,20,3,6,1,38,428,3.9678
1.0,20,3,6,2,38,428,3.8936
1.0,20,3,7,0,38,428,3.83
1.0,20,3,7,1,38,428,3.9763
1.0,20,3,7,2,38,428,3.9046
1.0,20,3,8,0,38,428,3.9136
1.0,20,3,8,1,38,428,3.9115
1.0,20,3,8,2,38,428,4.0319
1.0,20,3,9,0,38,428,3.7876
1.0,20,3,9,1,38,428,3.8992
1.0,20,3,9,2,38,428,3.9812
1.0,20,5,0,0,93,945,8.0627
1.0,20,5,0,1,93,945,7.6204
1.0,20,5,0,2,93,945,7.461
1.0,20,5,0,3,93,945,7.365
1.0,20,5,0,4,93,945,7.742
1.0,20,5,1,0,93,945,7.9591
1.0,20,5,1,1,93,945,7.7313
1.0,20,5,1,2,93,945,8.0548
1.0,20,5,1,3,93,945,7.8301
1.0,20,5,1,4,93,945,7.7106
1.0,20,5,2,0,93,945,7.9243
1.0,20,5,2,1,93,945,7.2306
1.0,20,5,2,2,93,945,7.4333
1.0,20,5,2,3,93,945,11.2447
1.0,20,5,2,4,93,945,7.3011
1.0,20,5,3,0,93,945,8.1789
1.0,20,5,3,1,93,945,8.5791
1.0,20,5,3,2,93,945,7.3485
1.0,20,5,3,3,93,945,7.8104
1.0,20,5,3,4,93,945,7.5886
1.0,20,5,4,0,93,945,7.9184
1.0,20,5,4,1,93,945,8.0589
1.0,20,5,4,2,93,945,7.3584
1.0,20,5,4,3,93,945,7.5668
1.0,20,5,4,4,93,945,7.7405
1.0,20,5,5,0,93,945,8.1393
1.0,20,5,5,1,93,945,7.2224
1.0,20,5,5,2,93,945,8.3479
1.0,20,5,5,3,93,945,7.1988
1.0,20,5,5,4,93,945,7.1244
1.0,20,5,6,0,93,945,8.0143
1.0,20,5,6,1,93,945,7.565
1.0,20,5,6,2,93,945,7.6376
1.0,20,5,6,3,93,945,7.4512
1.0,20,5,6,4,93,945,7.7193
1.0,20,5,7,0,93,945,75.5899
1.0,20,5,7,1,93,945,7.6684
1.0,20,5,7,2,93,945,9.029
1.0,20,5,7,3,93,945,7.9478
1.0,20,5,7,4,93,945,7.5639
1.0,20,5,8,0,93,945,8.0721
1.0,20,5,8,1,93,945,7.5074
1.0,20,5,8,2,93,945,7.4148
1.0,20,5,8,3,93,945,8.1795
1.0,20,5,8,4,93,945,8.4264
1.0,20,5,9,0,93,945,8.7876
1.0,20,5,9,1,93,945,7.9766
1.0,20,5,9,2,93,945,7.2839
1.0,20,5,9,3,93,945,8.2238
1.0,20,5,9,4,93,945,8.1952
1.5,10,1,0,0,111,612,6.5046
1.5,10,1,1,0,111,612,6.7902
1.5,10,1,2,0,111,612,6.4871
1.5,10,1,3,0,111,612,78.967
1.5,10,1,4,0,111,612,6.91
1.5,10,1,5,0,111,612,6.5103
1.5,10,1,6,0,111,612,6.4655
1.5,10,1,7,0,111,612,6.4927
1.5,10,1,8,0,111,612,6.6428
1.5,10,1,9,0,111,612,6.6653
1.5,10,3,0,0,86,455,5.0868
1.5,10,3,0,1,86,455,4.9633
1.5,10,3,0,2,86,455,5.0448
1.5,10,3,1,0,86,455,5.2248
1.5,10,3,1,1,86,455,4.7057
1.5,10,3,1,2,86,455,4.9979
1.5,10,3,2,0,86,455,5.059
1.5,10,3,2,1,86,455,5.6201
1.5,10,3,2,2,86,455,5.0053
1.5,10,3,3,0,86,455,5.0787
1.5,10,3,3,1,86,455,4.7391
1.5,10,3,3,2,86,455,4.9637
1.5,10,3,4,0,86,455,5.2069
1.5,10,3,4,1,86,455,5.9164
1.5,10,3,4,2,86,455,5.3794
1.5,10,3,5,0,86,455,5.0485
1.5,10,3,5,1,86,455,4.5527
1.5,10,3,5,2,86,455,4.922
1.5,10,3,6,0,86,455,5.0821
1.5,10,3,6,1,86,455,4.7563
1.5,10,3,6,2,86,455,4.6735
1.5,10,3,7,0,86,455,5.175
1.5,10,3,7,1,86,455,4.6537
1.5,10,3,7,2,86,455,4.9402
1.5,10,3,8,0,86,455,5.185
1.5,10,3,8,1,86,455,4.7396
1.5,10,3,8,2,86,455,4.5741
1.5,10,3,9,0,86,455,5.0108
1.5,10,3,9,1,86,455,4.8997
1.5,10,3,9,2,86,455,4.8774
1.5,10,5,0,0,34,175,2.3978
1.5,10,5,0,1,34,175,2.2405
1.5,10,5,0,2,34,175,2.1086
1.5,10,5,0,3,34,175,2.0589
1.5,10,5,0,4,34,175,2.312
1.5,10,5,1,0,34,175,2.4197
1.5,10,5,1,1,34,175,2.1834
1.5,10,5,1,2,34,175,2.229
1.5,10,5,1,3,34,175,2.0673
1.5,10,5,1,4,34,175,1.9893
1.5,10,5,2,0,34,175,2.565
1.5,10,5,2,1,34,175,2.2364
1.5,10,5,2,2,34,175,2.027
1.5,10,5,2,3,34,175,2.1335
1.5,10,5,2,4,34,175,2.0374
1.5,10,5,3,0,34,175,2.3977
1.5,10,5,3,1,34,175,2.3418
1.5,10,5,3,2,34,175,2.3972
1.5,10,5,3,3,34,175,2.0327
1.5,10,5,3,4,34,175,2.022
1.5,10,5,4,0,34,175,2.533
1.5,10,5,4,1,34,175,2.1863
1.5,10,5,4,2,34,175,2.3373
1.5,10,5,4,3,34,175,2.0816
1.5,10,5,4,4,34,175,2.0046
1.5,10,5,5,0,34,175,2.4183
1.5,10,5,5,1,34,175,2.083
1.5,10,5,5,2,34,175,2.0341
1.5,10,5,5,3,34,175,2.0383
1.5,10,5,5,4,34,175,1.984
1.5,10,5,6,0,34,175,2.4062
1.5,10,5,6,1,34,175,2.1912
1.5,10,5,6,2,34,175,1.9711
1.5,10,5,6,3,34,175,2.8213
1.5,10,5,6,4,34,175,2.1157
1.5,10,5,7,0,34,175,2.4064
1.5,10,5,7,1,34,175,2.2953
1.5,10,5,7,2,34,175,2.2344
1.5,10,5,7,3,34,175,1.9869
1.5,10,5,7,4,34,175,2.0276
1.5,10,5,8,0,34,175,2.3748
1.5,10,5,8,1,34,175,2.0753
1.5,10,5,8,2,34,175,2.0405
1.5,10,5,8,3,34,175,2.0046
1.5,10,5,8,4,34,175,1.9966
1.5,10,5,9,0,34,175,2.5963
1.5,10,5,9,1,34,175,2.1253
1.5,10,5,9,2,34,175,2.0858
1.5,10,5,9,3,34,175,1.9176
1.5,10,5,9,4,34,175,2.0365
1.5,15,1,0,0,93,684,7.0714
1.5,15,1,1,0,93,684,6.1829
1.5,15,1,2,0,93,684,6.2959
1.5,15,1,3,0,93,684,6.2791
1.5,15,1,4,0,93,684,6.3225
